Speech Event	overlaps‰	overlap average length	% of overlaps with >2 words	overlaps with >2 words ‰ tokens
FOLK_E_00111_SE_01	26,13	2,42	35,38	9,24	
FOLK_E_00112_SE_01	28,25	2,72	38,60	10,90	
FOLK_E_00113_SE_01	6,72	2,22	33,33	2,24	
FOLK_E_00114_SE_01	41,15	2,22	27,30	11,23	
FOLK_E_00115_SE_01	10,38	2,37	31,71	3,29	
FOLK_E_00116_SE_01	16,13	2,88	37,50	6,05	
FOLK_E_00117_SE_01	6,87	1,57	13,04	0,90	
FOLK_E_00118_SE_01	15,65	2,17	27,16	4,25	
FOLK_E_00119_SE_01	49,93	2,22	32,64	16,30	
FOLK_E_00120_SE_01	13,42	2,08	20,00	2,68	
FOLK_E_00121_SE_01	14,63	1,99	25,15	3,68	
FOLK_E_00123_SE_01	15,75	2,21	26,32	4,14	
FOLK_E_00124_SE_01	14,79	1,79	22,08	3,27	
FOLK_E_00125_SE_01	9,95	1,54	15,79	1,57	
FOLK_E_00126_SE_01	5,91	1,91	26,14	1,54	
FOLK_E_00127_SE_01	9,98	1,91	32,35	3,23	
FOLK_E_00128_SE_01	21,84	1,87	22,59	4,94	
FOLK_E_00129_SE_01	28,95	2,20	30,86	8,93	
FOLK_E_00130_SE_01	7,17	1,63	17,65	1,27	
FOLK_E_00132_SE_01	85,75	2,16	29,97	25,70	
FOLK_E_00133_SE_01	82,52	2,37	34,73	28,66	
FOLK_E_00134_SE_01	51,42	2,51	38,00	19,54	
FOLK_E_00135_SE_01	71,69	2,54	35,71	25,60	
FOLK_E_00136_SE_01	64,61	2,30	34,29	22,15	
FOLK_E_00137_SE_01	53,69	2,41	34,38	18,46	
FOLK_E_00138_SE_01	44,06	2,20	26,26	11,57	
FOLK_E_00139_SE_01	70,24	2,56	33,33	23,41	
