Speech Event	tokens	content	ratio
FOLK_E_00152_SE_01	12344	5230	0,42	
FOLK_E_00153_SE_01	48	18	0,38	
FOLK_E_00154_SE_01	44	18	0,41	
FOLK_E_00155_SE_01	62	24	0,39	
FOLK_E_00156_SE_01	1223	477	0,39	
FOLK_E_00157_SE_01	6948	2831	0,41	
FOLK_E_00158_SE_01	257	108	0,42	
FOLK_E_00159_SE_01	59	25	0,42	
FOLK_E_00160_SE_01	6609	2653	0,40	
FOLK_E_00161_SE_01	19215	7421	0,39	
FOLK_E_00162_SE_01	9575	4244	0,44	
FOLK_E_00163_SE_01	4799	2122	0,44	
FOLK_E_00165_SE_01	9692	4113	0,42	
FOLK_E_00166_SE_01	5566	2413	0,43	
FOLK_E_00167_SE_01	6260	2885	0,46	
FOLK_E_00168_SE_01	6884	3123	0,45	
FOLK_E_00169_SE_01	5915	2557	0,43	
FOLK_E_00171_SE_01	6148	2810	0,46	
FOLK_E_00172_SE_01	4189	1955	0,47	
FOLK_E_00173_SE_01	19647	7806	0,40	
FOLK_E_00174_SE_01	15170	6186	0,41	
FOLK_E_00175_SE_01	5531	2249	0,41	
FOLK_E_00176_SE_01	6509	2432	0,37	
FOLK_E_00177_SE_01	6863	2553	0,37	
FOLK_E_00178_SE_01	7175	2495	0,35	
FOLK_E_00179_SE_01	8717	3318	0,38	
FOLK_E_00180_SE_01	4614	1809	0,39	
FOLK_E_00181_SE_01	7919	2948	0,37	
FOLK_E_00182_SE_01	9051	3248	0,36	
FOLK_E_00183_SE_01	5918	2013	0,34	
FOLK_E_00184_SE_01	7839	2464	0,31	
FOLK_E_00185_SE_01	6763	2557	0,38	
FOLK_E_00186_SE_01	5257	2159	0,41	
FOLK_E_00187_SE_01	8840	3389	0,38	
FOLK_E_00188_SE_01	1722	684	0,40	
FOLK_E_00189_SE_01	4793	1826	0,38	
FOLK_E_00190_SE_01	3615	1426	0,39	
FOLK_E_00191_SE_01	12007	4868	0,41	
FOLK_E_00193_SE_01	10695	3758	0,35	
FOLK_E_00194_SE_01	3119	1212	0,39	
FOLK_E_00197_SE_01	3366	1247	0,37	
FOLK_E_00198_SE_01	2190	855	0,39	
FOLK_E_00201_SE_01	17304	6775	0,39	
FOLK_E_00202_SE_01	15911	6136	0,39	
FOLK_E_00203_SE_01	10243	4189	0,41	
FOLK_E_00204_SE_01	14509	5508	0,38	
FOLK_E_00206_SE_01	13939	5740	0,41	
FOLK_E_00207_SE_01	4370	1783	0,41	
FOLK_E_00208_SE_01	6096	2460	0,40	
FOLK_E_00209_SE_01	3217	1283	0,40	
FOLK_E_00210_SE_01	16343	7489	0,46	
FOLK_E_00211_SE_01	710	275	0,39	
FOLK_E_00212_SE_01	176	71	0,40	
FOLK_E_00213_SE_01	3159	1227	0,39	
FOLK_E_00214_SE_01	426	149	0,35	
FOLK_E_00215_SE_01	785	317	0,40	
FOLK_E_00216_SE_01	705	279	0,40	
FOLK_E_00217_SE_01	22946	9344	0,41	
FOLK_E_00218_SE_01	5322	2209	0,42	
FOLK_E_00219_SE_01	3918	1587	0,41	
FOLK_E_00220_SE_01	16615	6534	0,39	
FOLK_E_00221_SE_01	3423	1258	0,37	
FOLK_E_00223_SE_01	167	72	0,43	
FOLK_E_00224_SE_01	1170	449	0,38	
FOLK_E_00225_SE_01	8922	3479	0,39	
FOLK_E_00226_SE_01	6161	2548	0,41	
FOLK_E_00227_SE_01	6633	2539	0,38	
FOLK_E_00228_SE_01	10398	4223	0,41	
FOLK_E_00229_SE_01	138	54	0,39	
FOLK_E_00230_SE_01	142	53	0,37	
FOLK_E_00231_SE_01	336	126	0,38	
FOLK_E_00235_SE_01	342	138	0,40	
FOLK_E_00237_SE_01	180	81	0,45	
FOLK_E_00238_SE_01	230	94	0,41	
FOLK_E_00239_SE_01	114	48	0,42	
FOLK_E_00243_SE_01	1974	789	0,40	
FOLK_E_00246_SE_01	1289	485	0,38	
FOLK_E_00248_SE_01	8532	3526	0,41	
FOLK_E_00250_SE_01	9157	3794	0,41	
FOLK_E_00251_SE_01	4410	1758	0,40	
FOLK_E_00252_SE_01	5339	2094	0,39	
FOLK_E_00253_SE_01	7309	2672	0,37	
FOLK_E_00254_SE_01	18779	7332	0,39	
FOLK_E_00255_SE_01	16666	6398	0,38	
FOLK_E_00256_SE_01	12284	4742	0,39	
FOLK_E_00257_SE_01	8827	3283	0,37	
FOLK_E_00258_SE_01	9242	3882	0,42	
FOLK_E_00259_SE_01	1927	676	0,35	
FOLK_E_00260_SE_01	7917	3049	0,39	
