Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00162_SE_01	8,30	4,20	0,32	0,84	0,53	0,21	1,26	0,95	
FOLK_E_00163_SE_01	13,99	7,31	0,84	0,42	0,21	0,42	3,55	1,25	
FOLK_E_00165_SE_01	6,76	4,05	0,10	0,10	0,10	0,10	1,56	0,73	
FOLK_E_00166_SE_01	8,66	5,96	0,00	0,00	0,54	0,00	1,44	0,72	
FOLK_E_00167_SE_01	15,92	13,51	0,00	0,80	0,00	0,00	1,13	0,48	
FOLK_E_00168_SE_01	10,10	5,71	1,76	0,88	0,15	0,00	0,88	0,73	
FOLK_E_00169_SE_01	10,36	7,48	0,34	1,02	0,17	0,00	0,51	0,85	
FOLK_E_00171_SE_01	19,85	16,89	0,00	0,82	0,00	0,00	1,31	0,82	
FOLK_E_00172_SE_01	14,22	11,81	1,20	0,72	0,00	0,00	0,00	0,48	
FOLK_E_00173_SE_01	8,17	5,21	0,26	0,56	0,15	0,00	1,23	0,77	
FOLK_E_00174_SE_01	11,19	4,90	0,40	1,46	0,13	0,66	2,05	1,59	
FOLK_E_00175_SE_01	2,73	2,54	0,00	0,00	0,00	0,00	0,18	0,00	
FOLK_E_00176_SE_01	7,11	4,02	0,31	0,31	0,00	0,15	0,93	1,39	
FOLK_E_00177_SE_01	6,31	4,40	0,00	0,15	0,15	0,00	0,59	1,03	
FOLK_E_00178_SE_01	7,15	2,94	0,28	0,14	0,84	0,14	1,26	1,54	
FOLK_E_00179_SE_01	8,74	4,37	0,12	0,23	0,35	0,00	1,96	1,73	
FOLK_E_00180_SE_01	9,83	4,80	0,00	0,00	1,53	0,22	1,75	1,53	
FOLK_E_00181_SE_01	7,59	3,92	0,25	0,51	0,38	0,13	1,27	1,14	
FOLK_E_00182_SE_01	6,90	4,12	0,11	0,00	0,11	0,00	0,89	1,67	
FOLK_E_00183_SE_01	7,30	3,40	0,51	0,00	0,68	0,17	1,19	1,36	
FOLK_E_00184_SE_01	4,62	2,18	0,00	0,26	0,51	0,00	0,64	1,03	
FOLK_E_00185_SE_01	5,33	2,67	0,00	0,15	0,30	0,15	1,04	1,04	
FOLK_E_00186_SE_01	9,36	4,39	0,19	0,00	1,15	0,00	2,29	1,34	
FOLK_E_00187_SE_01	6,24	2,15	0,91	0,00	0,34	0,11	0,91	1,81	
FOLK_E_00188_SE_01	1,78	1,19	0,00	0,00	0,00	0,00	0,59	0,00	
FOLK_E_00189_SE_01	1,68	1,68	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00190_SE_01	13,55	8,85	0,00	1,94	0,28	0,55	1,11	0,83	
FOLK_E_00191_SE_01	9,26	3,87	1,01	0,59	0,84	0,84	1,60	0,50	
FOLK_E_00193_SE_01	9,89	7,06	0,28	0,94	0,66	0,19	0,57	0,19	
FOLK_E_00194_SE_01	7,12	2,91	0,00	0,32	0,00	0,00	0,97	2,91	
FOLK_E_00197_SE_01	8,67	6,58	0,30	1,20	0,00	0,00	0,30	0,30	
FOLK_E_00198_SE_01	4,15	1,84	0,92	0,46	0,00	0,00	0,00	0,92	
FOLK_E_00201_SE_01	7,24	4,63	0,41	0,17	0,46	0,29	0,41	0,87	
FOLK_E_00202_SE_01	5,34	3,50	0,06	0,38	0,19	0,06	0,57	0,57	
FOLK_E_00203_SE_01	5,18	1,76	0,20	0,00	0,10	0,00	2,74	0,39	
FOLK_E_00204_SE_01	3,96	2,02	0,07	0,28	0,00	0,00	0,56	1,04	
FOLK_E_00206_SE_01	13,24	5,11	0,50	1,94	0,72	1,30	2,09	1,58	
FOLK_E_00207_SE_01	5,07	2,77	0,69	0,00	0,00	0,00	0,00	1,61	
FOLK_E_00208_SE_01	7,77	4,30	0,17	0,33	0,17	0,00	0,83	1,98	
FOLK_E_00209_SE_01	6,27	1,88	0,63	0,00	0,31	0,00	0,00	3,45	
FOLK_E_00210_SE_01	28,31	13,91	2,15	1,48	2,52	0,74	4,98	2,52	
FOLK_E_00211_SE_01	2,84	2,84	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00212_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00213_SE_01	4,78	2,87	0,00	0,64	0,00	0,32	0,64	0,32	
FOLK_E_00214_SE_01	2,38	2,38	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00215_SE_01	5,14	1,29	0,00	0,00	0,00	0,00	0,00	3,86	
FOLK_E_00216_SE_01	10,04	5,74	1,43	2,87	0,00	0,00	0,00	0,00	
FOLK_E_00217_SE_01	2,72	1,76	0,22	0,18	0,00	0,00	0,04	0,53	
FOLK_E_00218_SE_01	3,22	2,65	0,19	0,00	0,00	0,00	0,19	0,19	
FOLK_E_00219_SE_01	10,47	5,62	0,00	0,77	0,00	0,00	1,28	2,81	
FOLK_E_00220_SE_01	5,38	3,81	0,06	0,18	0,18	0,00	0,91	0,24	
FOLK_E_00221_SE_01	6,18	2,36	0,00	0,29	0,88	0,29	0,00	2,36	
FOLK_E_00223_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00224_SE_01	10,34	8,61	0,00	0,86	0,00	0,00	0,86	0,00	
FOLK_E_00225_SE_01	4,27	3,26	0,11	0,11	0,00	0,00	0,45	0,34	
FOLK_E_00226_SE_01	9,94	6,85	0,00	0,33	0,00	0,00	0,82	1,96	
FOLK_E_00227_SE_01	6,24	4,11	0,15	0,15	0,15	0,15	0,15	1,37	
FOLK_E_00228_SE_01	5,51	3,87	0,10	0,29	0,00	0,00	0,97	0,29	
FOLK_E_00229_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00230_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00231_SE_01	2,99	0,00	0,00	0,00	0,00	0,00	0,00	2,99	
FOLK_E_00235_SE_01	5,95	2,98	0,00	0,00	0,00	0,00	0,00	2,98	
FOLK_E_00237_SE_01	11,24	11,24	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00238_SE_01	26,09	26,09	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00239_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00243_SE_01	5,62	2,55	0,00	1,02	0,00	0,00	0,00	2,04	
FOLK_E_00246_SE_01	2,34	0,78	0,00	0,00	0,00	0,78	0,00	0,78	
FOLK_E_00248_SE_01	22,47	13,41	0,24	0,47	0,35	0,12	4,82	3,06	
FOLK_E_00250_SE_01	24,68	12,01	1,87	0,11	0,11	0,00	6,28	4,30	
FOLK_E_00251_SE_01	6,37	4,09	0,00	0,23	0,23	0,00	0,91	0,91	
FOLK_E_00252_SE_01	4,34	3,77	0,00	0,00	0,00	0,00	0,38	0,19	
FOLK_E_00253_SE_01	4,42	2,77	0,28	0,14	0,41	0,28	0,41	0,14	
FOLK_E_00254_SE_01	11,01	8,88	0,16	0,16	0,64	0,00	0,64	0,53	
FOLK_E_00255_SE_01	3,81	2,96	0,06	0,06	0,00	0,00	0,36	0,36	
FOLK_E_00256_SE_01	6,41	2,87	1,07	0,08	0,16	0,41	0,57	1,23	
FOLK_E_00257_SE_01	4,66	2,05	0,00	0,34	0,11	0,34	0,45	1,36	
FOLK_E_00258_SE_01	11,08	4,56	0,22	0,22	0,43	1,30	0,76	3,58	
FOLK_E_00259_SE_01	2,11	0,53	1,05	0,00	0,00	0,00	0,00	0,53	
FOLK_E_00260_SE_01	2,92	1,78	0,13	0,13	0,00	0,00	0,25	0,63	
FOLK_E_00261_SE_01	6,90	3,19	0,51	0,38	0,51	0,13	1,02	1,15	
FOLK_E_00262_SE_01	5,18	3,02	0,86	0,86	0,00	0,00	0,00	0,43	
FOLK_E_00263_SE_01	5,26	3,64	0,81	0,40	0,00	0,00	0,20	0,20	
FOLK_E_00264_SE_01	2,34	2,34	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00265_SE_01	4,02	2,22	0,00	0,09	0,09	0,00	0,77	0,85	
FOLK_E_00266_SE_01	4,74	2,71	0,04	0,30	0,00	0,26	0,69	0,73	
