Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
GWSS_E_00244_SE_01	28,77	16,32	0,00	3,04	1,11	0,28	6,64	1,38	
GWSS_E_00245_SE_01	32,39	16,36	0,33	2,00	0,00	0,00	12,35	1,34	
GWSS_E_00246_SE_01	17,34	8,58	0,37	0,91	0,55	0,73	3,29	2,92	
GWSS_E_00247_SE_01	26,05	12,60	1,43	0,57	1,43	2,29	6,30	1,43	
GWSS_E_00248_SE_01	21,68	9,46	0,92	2,08	1,85	0,92	5,30	1,15	
GWSS_E_00300_SE_01	44,03	12,75	0,00	3,48	1,16	5,79	18,54	2,32	
GWSS_E_00300_SE_02	9,90	4,95	0,00	1,24	0,00	1,24	2,48	0,00	
GWSS_E_00301_SE_01	27,36	7,46	0,00	1,24	11,19	2,49	2,49	2,49	
GWSS_E_00301_SE_02	15,18	5,06	0,00	0,00	0,00	1,69	0,00	8,43	
GWSS_E_00302_SE_01	45,02	12,45	2,87	0,96	4,79	11,49	9,58	2,87	
GWSS_E_00302_SE_02	9,28	2,32	0,00	0,00	0,00	0,00	2,32	4,64	
GWSS_E_00303_SE_01	49,83	13,75	0,00	0,00	3,44	10,31	15,46	6,87	
GWSS_E_00303_SE_02	15,87	0,00	0,00	0,00	6,35	3,17	0,00	6,35	
GWSS_E_00304_SE_01	36,11	13,04	1,00	1,00	8,02	5,02	4,01	4,01	
GWSS_E_00304_SE_02	15,33	5,93	1,98	0,00	0,00	0,99	4,95	1,48	
GWSS_E_00305_SE_01	27,27	12,12	0,00	3,03	4,55	4,55	0,00	3,03	
GWSS_E_00305_SE_02	11,49	11,49	0,00	0,00	0,00	0,00	0,00	0,00	
GWSS_E_00306_SE_01	29,57	5,38	1,34	2,69	0,00	4,03	6,72	9,41	
GWSS_E_00306_SE_02	14,16	11,01	0,00	0,79	0,00	0,79	1,57	0,00	
GWSS_E_00307_SE_01	19,43	3,53	0,00	0,00	0,00	12,37	0,00	3,53	
GWSS_E_00307_SE_02	17,67	5,89	0,00	2,95	0,00	0,00	7,36	1,47	
GWSS_E_00308_SE_01	42,99	4,52	0,00	0,00	4,52	27,15	2,26	4,52	
GWSS_E_00308_SE_02	15,02	3,13	2,50	1,88	0,00	6,88	0,00	0,63	
GWSS_E_00309_SE_01	43,72	0,00	1,37	4,10	0,00	24,59	8,20	5,46	
GWSS_E_00309_SE_02	9,25	2,64	0,00	0,00	0,00	0,66	4,62	1,32	
GWSS_E_00310_SE_01	22,36	7,45	0,00	0,00	2,48	8,70	3,73	0,00	
GWSS_E_00310_SE_02	8,68	1,45	0,00	0,00	1,45	0,00	5,79	0,00	
GWSS_E_00311_SE_01	22,38	10,74	0,00	0,90	0,00	8,06	0,00	2,69	
GWSS_E_00311_SE_02	3,89	0,00	0,00	0,00	0,00	0,00	3,89	0,00	
GWSS_E_00312_SE_01	27,51	9,71	0,00	0,00	3,24	9,71	0,00	4,85	
GWSS_E_00312_SE_02	9,72	0,00	0,00	1,22	1,22	4,86	0,00	2,43	
GWSS_E_00313_SE_01	61,26	3,95	0,00	0,00	19,76	29,64	5,93	1,98	
GWSS_E_00313_SE_02	9,62	3,61	0,00	1,20	2,40	0,00	0,00	2,40	
GWSS_E_00314_SE_01	25,88	7,39	0,00	1,85	1,85	7,39	0,00	7,39	
GWSS_E_00314_SE_02	29,41	3,46	0,00	0,00	1,73	20,76	1,73	1,73	
GWSS_E_00315_SE_01	38,91	11,67	3,89	3,89	1,95	5,84	3,89	7,78	
GWSS_E_00315_SE_02	9,78	7,82	0,00	0,00	0,00	1,96	0,00	0,00	
GWSS_E_00316_SE_01	24,10	1,51	0,00	0,00	0,00	15,06	0,00	7,53	
GWSS_E_00316_SE_02	11,11	3,70	0,00	1,85	3,70	0,00	1,85	0,00	
GWSS_E_00317_SE_01	58,98	12,35	0,00	1,37	2,74	32,92	6,86	2,74	
GWSS_E_00317_SE_02	9,90	2,48	0,00	0,00	0,00	0,00	7,43	0,00	
GWSS_E_00318_SE_01	19,65	0,00	0,00	0,00	0,00	13,10	0,00	6,55	
GWSS_E_00318_SE_02	11,36	5,68	0,00	0,00	0,00	2,84	2,84	0,00	
