Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
FOLK_E_00221_SE_01	2,94	2,65	4,71	1,47	
FOLK_E_00223_SE_01	5,99	0,00	17,96	0,00	
FOLK_E_00224_SE_01	3,45	5,17	2,58	0,86	
FOLK_E_00225_SE_01	2,92	2,02	3,82	1,01	
FOLK_E_00226_SE_01	4,08	5,05	5,22	1,30	
FOLK_E_00227_SE_01	3,19	2,28	4,26	0,00	
FOLK_E_00228_SE_01	3,00	0,48	5,03	0,77	
FOLK_E_00229_SE_01	0,00	0,00	7,25	0,00	
FOLK_E_00230_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00231_SE_01	14,93	0,00	0,00	0,00	
FOLK_E_00235_SE_01	5,95	8,93	14,88	5,95	
FOLK_E_00237_SE_01	5,62	0,00	16,85	0,00	
FOLK_E_00238_SE_01	4,35	0,00	8,70	0,00	
FOLK_E_00239_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00243_SE_01	8,68	8,17	3,57	0,51	
FOLK_E_00246_SE_01	3,12	7,01	2,34	0,00	
FOLK_E_00248_SE_01	7,06	8,71	6,71	1,65	
FOLK_E_00250_SE_01	7,27	5,84	6,61	2,09	
FOLK_E_00251_SE_01	2,50	0,45	3,41	0,68	
FOLK_E_00252_SE_01	0,75	0,75	3,77	1,13	
FOLK_E_00253_SE_01	1,11	0,14	3,18	0,55	
FOLK_E_00254_SE_01	3,85	3,58	5,13	1,71	
FOLK_E_00255_SE_01	3,51	3,21	3,45	1,03	
FOLK_E_00256_SE_01	2,71	5,91	3,20	0,66	
FOLK_E_00257_SE_01	4,66	2,62	3,07	1,36	
FOLK_E_00258_SE_01	4,89	8,47	4,56	2,06	
FOLK_E_00259_SE_01	0,00	0,53	2,64	0,00	
FOLK_E_00260_SE_01	2,92	2,66	6,09	1,27	
FOLK_E_00261_SE_01	6,39	5,11	5,37	1,15	
FOLK_E_00262_SE_01	6,47	3,88	7,34	2,59	
FOLK_E_00263_SE_01	5,46	2,43	8,09	3,64	
FOLK_E_00264_SE_01	3,50	1,17	5,84	0,00	
FOLK_E_00265_SE_01	1,88	2,22	4,44	0,94	
FOLK_E_00266_SE_01	2,24	2,67	4,39	1,21	
FOLK_E_00267_SE_01	1,79	3,64	2,32	0,63	
FOLK_E_00268_SE_01	3,47	2,11	3,77	0,90	
FOLK_E_00269_SE_01	3,83	6,16	2,55	1,06	
FOLK_E_00270_SE_01	2,22	0,89	1,77	0,00	
FOLK_E_00271_SE_01	2,07	2,40	3,71	0,87	
FOLK_E_00272_SE_01	3,39	2,35	4,70	0,78	
FOLK_E_00273_SE_01	3,42	3,35	4,14	1,49	
FOLK_E_00274_SE_01	2,41	6,95	3,15	0,56	
FOLK_E_00285_SE_01	1,00	1,44	2,07	0,44	
FOLK_E_00286_SE_01	1,36	4,88	1,09	0,00	
FOLK_E_00287_SE_01	4,51	2,74	3,60	0,67	
FOLK_E_00288_SE_01	2,75	4,42	5,51	0,90	
FOLK_E_00289_SE_01	5,00	0,00	3,34	1,11	
FOLK_E_00290_SE_01	2,23	1,43	3,78	1,03	
FOLK_E_00291_SE_01	1,88	3,20	3,20	0,75	
FOLK_E_00292_SE_01	3,15	0,63	5,35	2,20	
FOLK_E_00293_SE_01	3,42	1,24	4,45	0,44	
FOLK_E_00294_SE_01	2,01	0,21	2,22	0,53	
FOLK_E_00295_SE_01	4,24	1,97	3,48	1,06	
FOLK_E_00296_SE_01	6,76	15,15	4,81	1,33	
FOLK_E_00298_SE_01	0,00	0,00	2,75	0,00	
FOLK_E_00299_SE_01	3,48	2,32	3,48	1,16	
FOLK_E_00300_SE_01	1,29	1,81	2,33	0,26	
FOLK_E_00301_SE_01	2,46	5,25	4,18	1,39	
FOLK_E_00302_SE_01	4,68	1,87	3,75	2,81	
FOLK_E_00303_SE_01	3,83	5,50	3,93	1,77	
FOLK_E_00304_SE_01	2,04	2,04	0,00	0,00	
FOLK_E_00305_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00308_SE_01	1,45	1,45	3,71	0,82	
FOLK_E_00309_SE_01	1,47	0,92	0,92	0,37	
FOLK_E_00313_SE_01	7,45	10,68	7,16	1,47	
FOLK_E_00318_SE_01	2,43	2,12	3,64	1,82	
FOLK_E_00319_SE_01	1,56	0,78	4,49	0,98	
FOLK_E_00321_SE_01	2,00	1,38	4,53	0,77	
FOLK_E_00322_SE_01	1,83	1,93	2,64	0,51	
FOLK_E_00323_SE_01	1,26	1,26	5,04	1,26	
FOLK_E_00324_SE_01	4,00	2,67	0,00	4,00	
FOLK_E_00325_SE_01	3,55	1,37	3,16	0,91	
FOLK_E_00327_SE_01	1,57	1,57	3,93	0,94	
FOLK_E_00329_SE_01	2,26	3,41	3,20	0,68	
FOLK_E_00330_SE_01	5,28	4,53	7,65	2,33	
FOLK_E_00331_SE_01	2,01	3,75	3,49	0,79	
FOLK_E_00332_SE_01	2,26	0,00	2,26	0,56	
FOLK_E_00333_SE_01	2,14	1,36	4,46	0,58	
FOLK_E_00334_SE_01	3,57	2,67	8,91	3,12	
FOLK_E_00335_SE_01	1,07	0,78	3,79	0,78	
FOLK_E_00337_SE_01	8,44	6,98	9,48	3,65	
FOLK_E_00338_SE_01	4,80	6,36	11,26	4,07	
FOLK_E_00339_SE_01	4,77	2,86	6,12	2,08	
FOLK_E_00340_SE_01	3,67	0,76	3,77	1,34	
FOLK_E_00342_SE_01	1,93	1,06	2,99	0,77	
FOLK_E_00343_SE_01	3,58	2,79	5,17	1,99	
FOLK_E_00344_SE_01	2,22	3,63	5,15	1,52	
FOLK_E_00345_SE_01	0,00	0,00	1,61	1,61	
FOLK_E_00346_SE_01	2,70	2,70	2,78	0,84	
FOLK_E_00347_SE_01	3,08	1,92	3,66	0,38	
FOLK_E_00348_SE_01	3,90	4,25	4,39	0,70	
FOLK_E_00349_SE_01	3,02	4,57	4,57	1,72	
FOLK_E_00350_SE_01	3,69	4,89	3,69	1,76	
FOLK_E_00351_SE_01	4,79	3,14	3,39	1,07	
FOLK_E_00352_SE_01	4,44	3,59	4,96	2,22	
FOLK_E_00353_SE_01	3,21	4,55	2,81	0,27	
FOLK_E_00354_SE_01	1,41	1,25	4,39	1,57	
FOLK_E_00355_SE_01	3,82	2,22	6,53	1,35	
FOLK_E_00356_SE_01	2,04	0,93	4,63	0,93	
FOLK_E_00357_SE_01	2,18	1,04	3,13	0,57	
FOLK_E_00359_SE_01	1,05	4,46	2,62	0,26	
FOLK_E_00360_SE_01	1,35	1,01	4,38	1,01	
FOLK_E_00361_SE_01	8,82	7,01	10,39	3,30	
FOLK_E_00362_SE_01	1,50	7,52	1,50	0,00	
FOLK_E_00363_SE_01	2,75	7,34	6,42	0,92	
FOLK_E_00364_SE_01	0,00	3,05	2,28	0,76	
FOLK_E_00365_SE_01	2,87	5,38	2,51	0,72	
FOLK_E_00366_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00367_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00368_SE_01	3,19	6,39	12,78	6,39	
FOLK_E_00370_SE_01	2,26	3,16	2,48	0,68	
FOLK_E_00371_SE_01	2,61	6,27	2,61	0,52	
