Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
FOLK_E_00317_SE_01	1750	9876	335	6997	0.19	0.71	495	7555	0.28	0.76	813	8304	0.46	0.84	528	7417	0.30	0.75	730	7853	0.42	0.80	839	8093	0.48	0.82	921	8234	0.53	0.83	980	8325	0.56	0.84
FOLK_E_00318_SE_01	590	3093	250	2363	0.42	0.76	333	2637	0.56	0.85	421	2801	0.71	0.91	301	2538	0.51	0.82	379	2687	0.64	0.87	400	2713	0.68	0.88	420	2740	0.71	0.89	431	2754	0.73	0.89
FOLK_E_00319_SE_01	1172	9827	327	7575	0.28	0.77	484	8361	0.41	0.85	668	8875	0.57	0.90	435	8045	0.37	0.82	542	8403	0.46	0.86	614	8542	0.52	0.87	661	8653	0.56	0.88	690	8699	0.59	0.89
FOLK_E_00321_SE_01	1296	12153	394	9545	0.30	0.79	551	10361	0.43	0.85	738	11057	0.57	0.91	457	10032	0.35	0.83	588	10409	0.45	0.86	662	10576	0.51	0.87	720	10695	0.56	0.88	765	10756	0.59	0.89
FOLK_E_00322_SE_01	1037	9198	332	6840	0.32	0.74	481	7696	0.46	0.84	638	8206	0.62	0.89	396	7467	0.38	0.81	502	7820	0.48	0.85	570	8101	0.55	0.88	627	8260	0.60	0.90	645	8294	0.62	0.90
FOLK_E_00323_SE_01	209	732	111	553	0.53	0.76	138	633	0.66	0.86	158	667	0.76	0.91	132	611	0.63	0.83	148	633	0.71	0.86	156	644	0.75	0.88	158	648	0.76	0.89	159	649	0.76	0.89
FOLK_E_00324_SE_01	206	656	122	512	0.59	0.78	156	581	0.76	0.89	175	614	0.85	0.94	138	547	0.67	0.83	155	574	0.75	0.88	163	586	0.79	0.89	167	595	0.81	0.91	169	597	0.82	0.91
FOLK_E_00325_SE_01	2299	27255	479	22164	0.21	0.81	751	23533	0.33	0.86	1147	24574	0.50	0.90	606	22681	0.26	0.83	900	23535	0.39	0.86	1068	23891	0.46	0.88	1185	24180	0.52	0.89	1257	24311	0.55	0.89
FOLK_E_00327_SE_01	899	6096	315	4742	0.35	0.78	435	5183	0.48	0.85	580	5523	0.65	0.91	366	4944	0.41	0.81	459	5157	0.51	0.85	512	5285	0.57	0.87	547	5350	0.61	0.88	575	5424	0.64	0.89
FOLK_E_00329_SE_01	2099	22229	479	17165	0.23	0.77	707	18728	0.34	0.84	1018	19705	0.48	0.89	537	17777	0.26	0.80	763	18444	0.36	0.83	882	18766	0.42	0.84	960	18960	0.46	0.85	1003	19066	0.48	0.86
FOLK_E_00330_SE_01	2153	21957	401	16284	0.19	0.74	599	17784	0.28	0.81	976	19294	0.45	0.88	590	17637	0.27	0.80	829	18406	0.39	0.84	975	18797	0.45	0.86	1080	19017	0.50	0.87	1145	19138	0.53	0.87
FOLK_E_00331_SE_01	1194	10906	366	8463	0.31	0.78	539	9297	0.45	0.85	734	9837	0.61	0.90	435	8695	0.36	0.80	559	9093	0.47	0.83	637	9288	0.53	0.85	692	9411	0.58	0.86	728	9535	0.61	0.87
FOLK_E_00332_SE_01	402	1643	185	1271	0.46	0.77	238	1375	0.59	0.84	288	1460	0.72	0.89	209	1278	0.52	0.78	241	1333	0.60	0.81	261	1359	0.65	0.83	275	1382	0.68	0.84	279	1386	0.69	0.84
FOLK_E_00333_SE_01	678	4843	226	3628	0.33	0.75	321	3987	0.47	0.82	425	4301	0.63	0.89	311	3899	0.46	0.81	373	4107	0.55	0.85	416	4181	0.61	0.86	436	4220	0.64	0.87	445	4234	0.66	0.87
FOLK_E_00334_SE_01	342	1998	148	1533	0.43	0.77	198	1684	0.58	0.84	248	1787	0.73	0.89	198	1653	0.58	0.83	231	1732	0.68	0.87	236	1740	0.69	0.87	244	1754	0.71	0.88	249	1760	0.73	0.88
